coCDE,busEVNTID,docTYP,CREATEDAT,CREATEDBY,MODIFIEDAT,MODIFIEDBY
LEAS,1000,LL,10.05.2019,10619968,10.05.2019,10619968
LEAS,1100,LR,10.05.2019,10619968,10.05.2019,10619968
LEAS,1110,LR,10.05.2019,10619968,10.05.2019,10619968
LEAS,1120,LR,10.05.2019,10619968,10.05.2019,10619968
LEAS,1200,LR,10.05.2019,10619968,10.05.2019,10619968
LEAS,1300,LR,10.05.2019,10619968,10.05.2019,10619968
LEAS,1400,LR,03.06.2019,10619968,03.06.2019,10619968
LEAS,2000,LI,10.05.2019,10619968,10.05.2019,10619968
LEAS,2100,LI,10.05.2019,10619968,10.05.2019,10619968
LEAS,3000,LA,10.05.2019,10619968,10.05.2019,10619968
LEAS,3100,LA,10.05.2019,10619968,10.05.2019,10619968
LEAS,4000,LP,10.05.2019,10619968,10.05.2019,10619968
LEAS,4100,LP,10.05.2019,10619968,10.05.2019,10619968
LEAS,5000,KR,11.06.2019,10619968,11.06.2019,10619968
LEAS,9000,LL,31.07.2019,10619968,31.07.2019,10619968
