flowTYPE,dESCRP,CREATEDAT,CREATEDBY,MODIFIEDAT,MODIFIEDBY
100,RIGHT OF USE ASSET,17.07.2018,LTI,17.07.2018,LTI
110,INCREMENTAL RIGHT OF USE ASSET,17.07.2018,LTI,17.07.2018,LTI
200,LEASE LIABILITY,17.07.2018,LTI,17.07.2018,LTI
210,INCREMENTAL LEASE LIABILITY,17.07.2018,LTI,17.07.2018,LTI
300,ACCUMULATED AMORTIZATION,17.07.2018,LTI,17.07.2018,LTI
400,INTEREST CLEARING,17.07.2018,LTI,17.07.2018,LTI
600,INTEREST EXPENSE,17.07.2018,LTI,17.07.2018,LTI
700,AMORTIZATION EXPENSE,17.07.2018,LTI,20.06.2019,10619968
710,AMORTIZATION EXPENSE (Prior Year Acqusition),20.06.2019,720849,20.06.2019,720849
900,ACCRUAL/DEFERRAL,17.07.2018,LTI,17.07.2018,LTI
1000,PERIODIC LEASE PAYMENTS,17.07.2018,LTI,29.05.2019,10619968
1010,PERIODIC LEASE INCOME (SUB-LEASE),29.05.2019,10619968,29.05.2019,10619968
1100,RESIDUAL VALUE,17.07.2018,LTI,29.05.2019,10619968
1200,PENALTY FOR SHORT CLOSE,17.07.2018,LTI,29.05.2019,10619968
1300,BUYBACK PRICE,17.07.2018,LTI,29.05.2019,10619968
2000,Capitalised Interest,17.07.2018,LTI,29.05.2019,10619968
2500,Only Interest Bearing Expenses,24.12.2018,LTI,24.12.2018,LTI
3100,Gain/Loss from Lease Short Close,12.12.2018,LTI,12.12.2018,LTI
3200,Penalty for guaranteed residual < MP,27.12.2018,LTI,27.12.2018,LTI
3300,LOSS ON RETIREMENT,28.12.2018,LTI,29.05.2019,10619968
3400,ROUNDING OFF,02.01.2019,LTI,29.05.2019,10619968
3500,IFRS Transition Loss / gain,03.01.2019,LTI,03.01.2019,LTI
3600,Gain/Loss from Sub-Leasing,04.06.2019,10619968,04.06.2019,10619968
4000,General Overheads- Non-capitalised costs,17.07.2018,LTI,17.07.2018,LTI
